fylke;fylkesnummer;kommunenavn;kommunenr;gammelt_kommunenr
Oslo;03;Oslo;0301;0301
Rogaland;11;Eigersund;1101;1101
Rogaland;11;Stavanger;1103;1103
Rogaland;11;Haugesund;1106;1106
Rogaland;11;Sandnes;1108;1108
Rogaland;11;Sokndal;1111;1111
Rogaland;11;Lund;1112;1112
Rogaland;11;Bjerkreim;1114;1114
Rogaland;11;Hå;1119;1119
Rogaland;11;Klepp;1120;1120
Rogaland;11;Time;1121;1121
Rogaland;11;Gjesdal;1122;1122
Rogaland;11;Sola;1124;1124
Rogaland;11;Randaberg;1127;1127
Rogaland;11;Strand;1130;1130
Rogaland;11;Hjelmeland;1133;1133
Rogaland;11;Suldal;1134;1134
Rogaland;11;Sauda;1135;1135
Rogaland;11;Kvitsøy;1144;1144
Rogaland;11;Bokn;1145;1145
Rogaland;11;Tysvær;1146;1146
Rogaland;11;Karmøy;1149;1149
Rogaland;11;Utsira;1151;1151
Rogaland;11;Vindafjord;1160;1160
Møre og Romsdal;15;Kristiansund;1505;1505
Møre og Romsdal;15;Molde;1506;1506
Møre og Romsdal;15;Ålesund;1508;1507
Møre og Romsdal;15;Vanylven;1511;1511
Møre og Romsdal;15;Sande;1514;1514
Møre og Romsdal;15;Herøy;1515;1515
Møre og Romsdal;15;Ulstein;1516;1516
Møre og Romsdal;15;Hareid;1517;1517
Møre og Romsdal;15;Ørsta;1520;1520
Møre og Romsdal;15;Stranda;1525;1525
Møre og Romsdal;15;Sykkylven;1528;1528
Møre og Romsdal;15;Sula;1531;1531
Møre og Romsdal;15;Giske;1532;1532
Møre og Romsdal;15;Vestnes;1535;1535
Møre og Romsdal;15;Rauma;1539;1539
Møre og Romsdal;15;Aukra;1547;1547
Møre og Romsdal;15;Averøy;1554;1554
Møre og Romsdal;15;Gjemnes;1557;1557
Møre og Romsdal;15;Tingvoll;1560;1560
Møre og Romsdal;15;Sunndal;1563;1563
Møre og Romsdal;15;Surnadal;1566;1566
Møre og Romsdal;15;Smøla;1573;1573
Møre og Romsdal;15;Aure;1576;1576
Møre og Romsdal;15;Volda;1577;1577
Møre og Romsdal;15;Fjord;1578;1578
Møre og Romsdal;15;Hustadvika;1579;1579
Møre og Romsdal;15;Haram;1580;*
Nordland - Nordlánnda;18;Bodø;1804;1804
Nordland - Nordlánnda;18;Narvik;1806;1806
Nordland - Nordlánnda;18;Bindal;1811;1811
Nordland - Nordlánnda;18;Sømna;1812;1812
Nordland - Nordlánnda;18;Brønnøy;1813;1813
Nordland - Nordlánnda;18;Vega;1815;1815
Nordland - Nordlánnda;18;Vevelstad;1816;1816
Nordland - Nordlánnda;18;Herøy;1818;1818
Nordland - Nordlánnda;18;Alstahaug;1820;1820
Nordland - Nordlánnda;18;Leirfjord;1822;1822
Nordland - Nordlánnda;18;Vefsn;1824;1824
Nordland - Nordlánnda;18;Grane;1825;1825
Nordland - Nordlánnda;18;Aarborte - Hattfjelldal;1826;1826
Nordland - Nordlánnda;18;Dønna;1827;1827
Nordland - Nordlánnda;18;Nesna;1828;1828
Nordland - Nordlánnda;18;Hemnes;1832;1832
Nordland - Nordlánnda;18;Rana;1833;1833
Nordland - Nordlánnda;18;Lurøy;1834;1834
